Cluster,RNA Sequence
Cluster 2374,rna-XM_030273898.3.6
Cluster 2375,rna-XM_417085.8.2
Cluster 2376,rna-XM_041718141.1.12
Cluster 2377,rna-XM_015276634.3.125
Cluster 2378,rna-XM_015277677.4.11
Cluster 2379,rna-XM_015292185.4.14
Cluster 2380,rna-XM_030277142.3.11
Cluster 2381,rna-XM_041711923.1.178
Cluster 2382,rna-XM_030273008.3.36
Cluster 2383,rna-XM_012571383.4.52
Cluster 2384,rna-XM_004935617.5.23
Cluster 2385,rna-XM_015289490.4.8
Cluster 2386,rna-NM_001397227.1.5
Cluster 2387,rna-XM_025148788.3.40
Cluster 2388,rna-XM_015293175.4.13
Cluster 2389,rna-NM_214674.3.60
Cluster 2390,rna-XM_015284903.4.3
Cluster 2391,rna-XM_046899273.1.31
Cluster 2392,rna-XM_004947255.5.27
Cluster 2393,rna-XM_015282399.4.1
Cluster 2394,rna-NM_001039260.2.16
Cluster 2395,rna-XM_025150527.3.116
Cluster 2396,rna-XM_030263691.3.15
Cluster 2397,rna-XM_030275716.3.38
Cluster 2398,rna-XM_030271561.3.3
Cluster 2399,rna-XM_015300199.4.70
Cluster 2400,rna-XM_015294369.4.15
Cluster 2401,rna-NM_001030570.2.21
Cluster 2402,rna-XM_015299949.4.182
Cluster 2403,rna-XM_004945206.5.15
Cluster 2404,rna-XM_030257934.3.7
Cluster 2405,rna-NM_001006176.2.15
Cluster 2406,rna-XM_004940575.5.130
Cluster 2407,rna-XM_041719462.1.26
Cluster 2408,rna-XM_046904071.1.127
Cluster 2409,rna-XM_416073.8.4
Cluster 2410,rna-XM_015284733.4.4
Cluster 2411,rna-NM_001142850.5.9
Cluster 2412,rna-XM_012571485.4.14
Cluster 2413,rna-XM_030282987.3.13
Cluster 2414,rna-NM_001397921.1.4
Cluster 2415,rna-XM_025144413.3.70
Cluster 2416,rna-XM_025155036.3.19
Cluster 2417,rna-NM_204506.3.59
Cluster 2418,rna-XM_015298071.4.268
Cluster 2419,rna-XM_015293225.4.13
Cluster 2420,rna-XM_415508.8.17
Cluster 2421,rna-NM_001199426.3.5
Cluster 2422,rna-XM_015284764.4.3
Cluster 2423,rna-NM_001257279.4.24
Cluster 2424,rna-XM_040650783.2.27
Cluster 2425,rna-XM_025153993.3.14
Cluster 2426,rna-XM_046938382.1.3
Cluster 2427,rna-XM_015294337.4.15
Cluster 2428,rna-NM_001030785.3.36
Cluster 2429,rna-NM_001030841.3.4
Cluster 2430,rna-NM_001257224.3.2
Cluster 2431,rna-XM_015293988.4.19
Cluster 2432,rna-XM_032747134.2.1
Cluster 2433,rna-XM_046903779.1.69
Cluster 2434,rna-XM_046902575.1.18
Cluster 2435,rna-XM_015279219.4.21
Cluster 2436,rna-XM_426177.6.3
Cluster 2437,rna-XM_030268356.3.2
Cluster 2438,rna-XM_041721166.1.62
Cluster 2439,rna-XM_015283231.4.4
Cluster 2440,rna-XM_422169.8.8
Cluster 2441,rna-XM_423753.8.4
Cluster 2442,rna-XM_025155657.3.22
Cluster 2443,rna-NM_001031008.3.1
Cluster 2444,rna-XM_030257954.3.28
Cluster 2445,rna-XM_417154.8.2
Cluster 2446,rna-XM_030277583.3.11
Cluster 2447,rna-XM_015282816.4.1
Cluster 2448,rna-XM_046924334.1.1
Cluster 2449,rna-XM_015288258.4.7270
Cluster 2450,rna-XM_015298130.4.52
Cluster 2451,rna-XM_041712492.1.567
Cluster 2452,rna-XM_015285803.4.7
Cluster 2453,rna-XM_015281290.4.1
Cluster 2454,rna-XM_015283414.4.128
Cluster 2455,rna-XM_040706032.2.12
Cluster 2456,rna-XM_004940725.5.94
Cluster 2457,rna-XM_030286537.3.5
Cluster 2458,rna-XM_030259680.3.4
Cluster 2459,rna-NM_204419.2.2
Cluster 2460,rna-XM_030258684.3.7
Cluster 2461,rna-XM_025144480.3.196
Cluster 2462,rna-XM_015292581.4.16
Cluster 2463,rna-XM_030276453.3.8
Cluster 2464,rna-XM_030263283.3.4
Cluster 2465,rna-NM_001007827.2.14
Cluster 2466,rna-XM_414374.8.13
Cluster 2467,rna-XM_025145955.3.2
Cluster 2468,rna-NM_001100911.2.3
Cluster 2469,rna-XM_040698400.2.23
Cluster 2470,rna-XM_015292920.4.42
Cluster 2471,rna-NM_205186.3.10
Cluster 2472,rna-XM_015282912.4.1
Cluster 2473,rna-XM_015285542.4.7
Cluster 2474,rna-XM_041711564.1.74
Cluster 2475,rna-XM_041711683.1.176
Cluster 2476,rna-XM_030273254.3.45
Cluster 2477,rna-XM_015284648.4.3
Cluster 2478,rna-XM_414741.8.91
Cluster 2479,rna-XM_004943108.5.32
Cluster 2480,rna-XM_015277940.4.1
Cluster 2481,rna-XM_046939447.1.40
Cluster 2482,rna-XM_040655417.2.6
Cluster 2483,rna-NM_001282159.3.4
Cluster 2484,rna-XM_417766.7.51
Cluster 2485,rna-XM_030273574.3.45
Cluster 2486,rna-XM_004938821.5.2
Cluster 2487,rna-XM_046943934.1.4
Cluster 2488,rna-XM_015287459.4.47
Cluster 2489,rna-XM_040695994.2.1
Cluster 2490,rna-XM_012577435.4.22
Cluster 2491,rna-XM_041716485.1.45
Cluster 2492,rna-NM_001012730.3.156
Cluster 2493,rna-XM_004938656.5.2
Cluster 2494,rna-NM_001398177.1.18
Cluster 2495,rna-XM_015275579.4.22
Cluster 2496,rna-NM_204101.2.99
Cluster 2497,rna-XM_015284533.4.3
Cluster 2498,rna-XM_421579.8.99
Cluster 2499,rna-XM_030284403.3.72
Cluster 2500,rna-XM_423726.8.86
Cluster 2501,rna-XM_003642902.6.6
Cluster 2502,rna-XM_025147711.3.1
Cluster 2503,rna-XM_025147645.3.1
Cluster 2504,rna-XM_040700650.2.5
Cluster 2505,rna-XM_025149101.3.3
Cluster 2506,rna-XM_046942679.1.98
Cluster 2507,rna-XM_040703898.2.8
Cluster 2508,rna-XM_040652137.2.52
Cluster 2509,rna-XM_015282149.3.1
Cluster 2510,rna-XM_030274846.3.6
Cluster 2511,rna-NM_001199665.2.5
Cluster 2512,rna-XM_015284589.4.3
Cluster 2513,rna-NM_001396525.1.1
Cluster 2514,rna-XM_416045.7.4
Cluster 2515,rna-XM_425565.8.2
Cluster 2516,rna-XM_030286100.3.26
Cluster 2517,rna-XM_030257879.3.7
Cluster 2518,rna-XM_030274473.3.6
Cluster 2519,rna-NM_001004429.4.7
Cluster 2520,rna-XM_025147998.3.1
Cluster 2521,rna-XM_046943181.1.9
Cluster 2522,rna-XM_422637.8.12
Cluster 2523,rna-XM_041716466.1.45
Cluster 2524,rna-XM_041712553.1.113
Cluster 2525,rna-XM_030266547.3.1
Cluster 2526,rna-XM_030284980.3.16
Cluster 2527,rna-XM_015300794.4.2
Cluster 2528,rna-NM_001001615.2.1
Cluster 2529,rna-XM_015274177.4.2
Cluster 2530,rna-XM_003642911.6.6
Cluster 2531,rna-XM_015298989.4.88
Cluster 2532,rna-XM_030269806.3.2
Cluster 2533,rna-XM_015292280.4.14
Cluster 2534,rna-NM_001389331.2.9
Cluster 2535,rna-NM_001012780.3.13
Cluster 2536,rna-XM_015288938.4.9
Cluster 2537,rna-XM_425441.7.4
Cluster 2538,rna-XM_040654658.2.4
Cluster 2539,rna-XM_015290883.4.10
Cluster 2540,rna-NM_001006515.2.8
Cluster 2541,rna-XM_030287005.3.24
Cluster 2542,rna-XM_015300071.4.70
Cluster 2543,rna-XM_030279712.3.5
Cluster 2544,rna-XM_004940218.5.3
Cluster 2545,rna-NM_001397911.1.182
Cluster 2546,rna-NM_001398080.2.3
Cluster 2547,rna-XM_025151662.3.9
Cluster 2548,rna-XM_025149401.2.110
Cluster 2549,rna-XM_012574428.4.8
Cluster 2550,rna-XM_041720641.1.4
Cluster 2551,rna-XM_041717198.1.8
Cluster 2552,rna-NM_001012884.3.112
Cluster 2553,rna-XM_425426.8.4
Cluster 2554,rna-XM_040688366.2.1
Cluster 2555,rna-NM_001012934.1.12
Cluster 2556,rna-XM_025151181.3.116
Cluster 2557,rna-XM_030274781.3.10
Cluster 2558,rna-XM_004943310.4.12
Cluster 2559,rna-XM_040647817.2.15
Cluster 2560,rna-XM_040700765.2.4
Cluster 2561,rna-XM_015297687.4.118
Cluster 2562,rna-XM_025153014.3.10
Cluster 2563,rna-NM_001398100.1.3
Cluster 2564,rna-XM_425679.8.2
Cluster 2565,rna-XM_004943123.5.32
Cluster 2566,rna-XM_030267966.3.5
Cluster 2567,rna-XM_030274127.3.6
Cluster 2568,rna-XM_030264019.3.15
Cluster 2569,rna-XM_046902425.1.18
Cluster 2570,rna-XM_414513.8.60
Cluster 2571,rna-XM_041714520.1.1
Cluster 2572,rna-XM_015290436.4.32
Cluster 2573,rna-XM_046942850.1.103
Cluster 2574,rna-XM_030277554.3.11
Cluster 2575,rna-XM_012569652.4.10
Cluster 2576,rna-XM_002199176.6.1
Cluster 2577,rna-XM_030260007.3.92
Cluster 2578,rna-NM_204208.2.52
Cluster 2579,rna-NM_001318411.2.91
Cluster 2580,rna-XM_030279706.3.53
Cluster 2581,rna-XM_030258810.3.22
Cluster 2582,rna-XM_046938332.1.1
Cluster 2583,rna-XM_040702153.2.5
Cluster 2584,rna-NM_001031140.2.97
Cluster 2585,rna-XM_015295929.4.18
Cluster 2586,rna-NM_001195122.2.19
Cluster 2587,rna-XM_046900254.1.60
Cluster 2588,rna-XM_046943249.1.9
Cluster 2589,rna-XM_032747780.2.5
Cluster 2590,rna-XM_002193716.5.93
Cluster 2591,rna-XM_030265777.3.33
Cluster 2592,rna-NM_001397203.1.5
Cluster 2593,rna-XM_046940998.1.61
Cluster 2594,rna-XM_030265772.3.1
Cluster 2595,rna-NM_001396282.1.137
Cluster 2596,rna-XM_025153178.3.32
Cluster 2597,rna-XM_015282352.4.1
Cluster 2598,rna-XM_030273465.3.45
Cluster 2599,rna-XM_003641791.6.12
Cluster 2600,rna-NM_001098610.2.28
Cluster 2601,rna-NM_205323.2.20
Cluster 2602,rna-XM_030276458.3.8
Cluster 2603,rna-NM_001097540.2.13
Cluster 2604,rna-XM_422650.8.120
Cluster 2605,rna-XM_015276447.4.117
Cluster 2606,rna-XM_002190852.5.3
Cluster 2607,rna-XM_030276551.3.8
Cluster 2608,rna-XM_032749852.2.9
Cluster 2609,rna-XM_416725.8.2
Cluster 2610,rna-XM_015293288.4.13
Cluster 2611,rna-XM_004941462.5.5
Cluster 2612,rna-XM_414253.8.42
Cluster 2613,rna-NM_001006389.2.1
Cluster 2614,rna-XM_030279179.3.9
Cluster 2615,rna-XM_015277995.4.1
Cluster 2616,rna-NM_001109784.3.7
Cluster 2617,rna-XM_015281725.3.65
Cluster 2618,rna-XM_041719784.1.5
Cluster 2619,rna-XM_030265008.3.1
Cluster 2620,rna-NM_001012577.2.56
Cluster 2621,rna-XM_030290286.3.4
Cluster 2622,rna-XM_046900702.1.15
Cluster 2623,rna-XM_004940159.5.80
Cluster 2624,rna-XM_025148146.3.1
Cluster 2625,rna-XM_004949834.5.287
Cluster 2626,rna-XM_030268741.3.23
Cluster 2627,rna-XM_041718997.1.21
Cluster 2628,rna-XM_030266179.3.1
Cluster 2629,rna-XM_015283746.4.39
Cluster 2630,rna-XM_015283163.4.4
Cluster 2631,rna-NM_001044634.2.29
Cluster 2632,rna-XM_046942264.1.5
Cluster 2633,rna-XM_040653350.2.57
Cluster 2634,rna-XM_015281834.4.1
Cluster 2635,rna-XM_004937499.5.4
Cluster 2636,rna-XM_003641039.6.3
Cluster 2637,rna-XM_046905174.1.29
Cluster 2638,rna-XM_041711805.1.92
Cluster 2639,rna-XM_041720867.1.31
Cluster 2640,rna-XM_041715625.1.3
Cluster 2641,rna-NM_001006139.2.13
Cluster 2642,rna-NM_205215.3.33
Cluster 2643,rna-XM_004945097.5.15
Cluster 2644,rna-XM_015276100.4.2
Cluster 2645,rna-NM_001322804.2.98
Cluster 2646,rna-XM_032745585.2.92
Cluster 2647,rna-XM_002196495.6.17
Cluster 2648,rna-XM_030266915.3.1
Cluster 2649,rna-XM_030274903.3.6
Cluster 2650,rna-XM_015295601.4.28
Cluster 2651,rna-NM_001030697.2.28
Cluster 2652,rna-XM_040650955.1.38
Cluster 2653,rna-XM_015276623.4.125
Cluster 2654,rna-XM_015287525.4.5
Cluster 2655,rna-XM_015278120.4.3
Cluster 2656,rna-NM_001195562.2.40
Cluster 2657,rna-XM_041720545.1.47
Cluster 2658,rna-XM_041720176.1.89
Cluster 2659,rna-XM_004937245.5.6
Cluster 2660,rna-XM_003641238.6.7
Cluster 2661,rna-XM_004937328.5.6
Cluster 2662,rna-XM_015287775.4.5
Cluster 2663,rna-XM_030269272.3.23
Cluster 2664,rna-XM_032750914.2.21
Cluster 2665,rna-XM_015295864.4.18
Cluster 2666,rna-NM_001012783.2.19
Cluster 2667,rna-XM_030266003.3.33
Cluster 2668,rna-XM_015292870.4.161
Cluster 2669,rna-XM_040702041.2.5
Cluster 2670,rna-NM_001030993.2.45
Cluster 2671,rna-XM_419182.7.1
Cluster 2672,rna-XM_004945207.5.15
Cluster 2673,rna-XM_030279463.3.9
Cluster 2674,rna-XM_030258652.3.7
Cluster 2675,rna-XM_046939857.1.7
Cluster 2676,rna-XM_040655335.2.6
Cluster 2677,rna-XM_015292249.4.14
Cluster 2678,rna-XM_041712714.1.172
Cluster 2679,rna-XM_414864.6.15
Cluster 2680,rna-XM_046939018.1.3
Cluster 2681,rna-XM_040704792.2.32
Cluster 2682,rna-XM_003641901.6.21
Cluster 2683,rna-NM_001079725.2.2
Cluster 2684,rna-XM_015282119.4.1
Cluster 2685,rna-XM_015282597.4.1
Cluster 2686,rna-NM_001397198.2.1
Cluster 2687,rna-NM_001398059.1.3
Cluster 2688,rna-XM_030285577.3.60
Cluster 2689,rna-XM_012573318.4.3
Cluster 2690,rna-XM_030290899.3.31
Cluster 2691,rna-NM_206986.3.87
Cluster 2692,rna-XM_046901015.1.11
Cluster 2693,rna-XM_046943788.1.8
Cluster 2694,rna-XM_030272567.3.17
Cluster 2695,rna-XM_030256020.3.70
Cluster 2696,rna-XM_030268779.3.23
Cluster 2697,rna-XM_002197618.5.8
Cluster 2698,rna-NM_001397218.1.7
Cluster 2699,rna-XM_046941639.1.5
Cluster 2700,rna-XM_425541.8.102
Cluster 2701,rna-XM_420824.8.7
Cluster 2702,rna-XM_015279218.4.21
Cluster 2703,rna-XM_421613.7.9
Cluster 2704,rna-XM_040650930.2.38
Cluster 2705,rna-XM_046900421.1.37
Cluster 2706,rna-XM_015276742.4.71
Cluster 2707,rna-XM_015279489.4.17
Cluster 2708,rna-XM_012578325.4.24
Cluster 2709,rna-XM_418678.8.1
Cluster 2710,rna-XM_015294091.4.19
Cluster 2711,rna-XM_416617.7.36
Cluster 2712,rna-XM_030283814.3.21
Cluster 2713,rna-XM_030255988.3.67
Cluster 2714,rna-XM_030256705.3.37
Cluster 2715,rna-XM_041720622.1.47
Cluster 2716,rna-XM_002197838.6.2
Cluster 2717,rna-XM_015283619.4.3
Cluster 2718,rna-NM_001396081.1.15
Cluster 2719,rna-XM_015299474.4.57
Cluster 2720,rna-XM_015296037.4.18
Cluster 2721,rna-NM_001398239.1.80
Cluster 2722,rna-NM_001031194.2.5
Cluster 2723,rna-XM_420803.8.7
Cluster 2724,rna-XM_015280041.4.105
Cluster 2725,rna-XM_414113.8.21
Cluster 2726,rna-XM_040695954.2.1
Cluster 2727,rna-XM_015294539.4.68
Cluster 2728,rna-NM_001030597.3.13
Cluster 2729,rna-XM_015285741.4.7
Cluster 2730,rna-XM_417185.8.2
Cluster 2731,rna-XM_015287121.3.5
Cluster 2732,rna-XM_015290227.4.32
Cluster 2733,rna-XM_032745607.2.92
Cluster 2734,rna-XM_030287976.3.27
Cluster 2735,rna-XM_030264021.3.1
Cluster 2736,rna-XM_030271345.3.3
Cluster 2737,rna-XM_040699525.2.7
Cluster 2738,rna-NM_001398094.1.3
Cluster 2739,rna-XM_015279512.4.17
Cluster 2740,rna-XM_015285373.4.46
Cluster 2741,rna-XM_046930429.1.1
Cluster 2742,rna-XM_025145753.3.170
Cluster 2743,rna-XM_040647228.2.19
Cluster 2744,rna-XM_015275779.4.4
Cluster 2745,rna-XM_002193972.6.8
Cluster 2746,rna-XM_032751439.2.24
Cluster 2747,rna-XM_041714038.1.503
Cluster 2748,rna-XM_041716836.1.6
Cluster 2749,rna-XM_030279095.3.9
Cluster 2750,rna-XM_414981.8.4
Cluster 2751,rna-XM_004938662.5.2
Cluster 2752,rna-XM_046929690.1.45
Cluster 2753,rna-XM_015299582.4.57
Cluster 2754,rna-XM_418576.7.1
Cluster 2755,rna-XM_030273809.3.10
Cluster 2756,rna-XM_012575343.4.9
Cluster 2757,rna-XM_041720617.1.47
Cluster 2758,rna-XM_030264372.3.1
Cluster 2759,rna-XM_030289338.3.54
Cluster 2760,rna-NM_001199100.2.2
Cluster 2761,rna-XM_015298235.4.77
Cluster 2762,rna-XM_004945825.5.17
Cluster 2763,rna-XM_046941030.1.61
Cluster 2764,rna-XM_025154205.3.4
Cluster 2765,rna-NM_001285979.2.89
Cluster 2766,rna-XM_015281116.4.1
Cluster 2767,rna-XM_015281855.4.1
Cluster 2768,rna-NM_204118.3.1
Cluster 2769,rna-XM_002200531.6.6
Cluster 2770,rna-XM_422340.8.10
Cluster 2771,rna-XM_421132.8.5
Cluster 2772,rna-XM_040646424.2.42
Cluster 2773,rna-XM_040696634.2.1
Cluster 2774,rna-XM_046902878.1.38
Cluster 2775,rna-XM_030290216.3.42
Cluster 2776,rna-XM_041716366.1.6
Cluster 2777,rna-XM_015285384.4.46
Cluster 2778,rna-XM_004934565.5.2
Cluster 2779,rna-NM_001101730.2.58
Cluster 2780,rna-XM_030289049.3.18
Cluster 2781,rna-XM_030272765.2.36
Cluster 2782,rna-XM_041715113.1.2
Cluster 2783,rna-XM_030283155.3.13
Cluster 2784,rna-XM_040651297.2.49
Cluster 2785,rna-NM_001001759.2.9
Cluster 2786,rna-XM_046942216.1.5
Cluster 2787,rna-XM_040696128.2.4
Cluster 2788,rna-XM_015276694.4.7
Cluster 2789,rna-XM_046903954.1.222
Cluster 2790,rna-XM_015282904.4.1
Cluster 2791,rna-XM_030266113.3.1
Cluster 2792,rna-XM_030256269.3.67
Cluster 2793,rna-XM_040649662.2.28
Cluster 2794,rna-XM_004945223.5.15
Cluster 2795,rna-XM_030282067.3.20
Cluster 2796,rna-NM_001031286.2.10
Cluster 2797,rna-XM_426532.8.9
Cluster 2798,rna-NM_001389549.2.1
Cluster 2799,rna-XM_040657378.2.11
Cluster 2800,rna-XM_415584.8.63
Cluster 2801,rna-XM_040650946.2.38
Cluster 2802,rna-XM_030277803.3.11
Cluster 2803,rna-XM_041713762.1.4
Cluster 2804,rna-XM_041710924.1.37
Cluster 2805,rna-XM_030269799.3.2
Cluster 2806,rna-XM_015275233.4.50
Cluster 2807,rna-XM_004938466.5.11
Cluster 2808,rna-XM_003640531.5.2
Cluster 2809,rna-XM_422211.8.32
Cluster 2810,rna-XM_015293292.4.13
Cluster 2811,rna-NM_001305103.2.12
Cluster 2812,rna-XM_015275758.4.4
Cluster 2813,rna-NM_204986.1.9
Cluster 2814,rna-XM_032746833.2.1
Cluster 2815,rna-XM_030289798.3.47
Cluster 2816,rna-XM_030278513.3.9
Cluster 2817,rna-NM_001396480.1.51
Cluster 2818,rna-XM_040707189.2.36
Cluster 2819,rna-XM_025151233.3.5
Cluster 2820,rna-XM_015285767.4.7
Cluster 2821,rna-NM_001030900.2.51
Cluster 2822,rna-XM_424376.8.1
Cluster 2823,rna-NM_001318988.2.26
Cluster 2824,rna-NM_205057.2.18
Cluster 2825,rna-XM_041714989.1.2
Cluster 2826,rna-XM_030290805.3.31
Cluster 2827,rna-XM_041717558.1.25
Cluster 2828,rna-NM_204692.2.22
Cluster 2829,rna-NM_001293102.3.6
Cluster 2830,rna-XM_418549.8.1
Cluster 2831,rna-NM_001398321.1.10
Cluster 2832,rna-XM_046901948.1.17
Cluster 2833,rna-XM_041720607.1.47
Cluster 2834,rna-NM_001001785.2.76
Cluster 2835,rna-XM_421456.8.71
Cluster 2836,rna-NM_001398028.1.73
Cluster 2837,rna-NM_205368.2.163
Cluster 2838,rna-XM_046899210.1.14
Cluster 2839,rna-XM_046898830.1.12
Cluster 2840,rna-XM_046938203.1.1
Cluster 2841,rna-XM_041719852.1.61
Cluster 2842,rna-XM_418378.8.1
Cluster 2843,rna-XM_015277591.4.2
Cluster 2844,rna-NM_204392.2.71
Cluster 2845,rna-XM_001233205.7.15
Cluster 2846,rna-NM_001317212.2.51
Cluster 2847,rna-XM_003642920.5.6
Cluster 2848,rna-XM_002200549.5.6
Cluster 2849,rna-XM_030289294.3.54
Cluster 2850,rna-XM_002192233.6.1
Cluster 2851,rna-XM_046940146.1.24
Cluster 2852,rna-NM_001159698.2.2
Cluster 2853,rna-XM_015290659.4.10
Cluster 2854,rna-XM_041716708.1.6
Cluster 2855,rna-NM_001396801.1.3
Cluster 2856,rna-XM_003640442.6.67
Cluster 2857,rna-XM_040701901.2.5
Cluster 2858,rna-NM_001398375.1.8
Cluster 2859,rna-XM_040706685.2.14
Cluster 2860,rna-XM_030288211.3.27
Cluster 2861,rna-XM_041715580.1.3
Cluster 2862,rna-XM_046942386.1.145
Cluster 2863,rna-XM_413966.8.6
Cluster 2864,rna-XM_002199488.6.6
Cluster 2865,rna-XM_002197013.6.19
Cluster 2866,rna-XM_041716889.1.8
Cluster 2867,rna-XM_046933446.1.1
Cluster 2868,rna-XM_046942949.1.9
Cluster 2869,rna-XM_015277747.4.11
Cluster 2870,rna-XM_030289746.3.47
Cluster 2871,rna-XM_030272983.3.36
Cluster 2872,rna-XM_030291491.3.62
Cluster 2873,rna-XM_040647746.2.15
Cluster 2874,rna-NM_205169.2.14
Cluster 2875,rna-NM_001034821.3.8
Cluster 2876,rna-XM_015275985.4.2
Cluster 2877,rna-NM_001199220.2.21
Cluster 2878,rna-XM_030258559.3.7
Cluster 2879,rna-NM_205330.1.145
Cluster 2880,rna-XM_040703155.2.9
Cluster 2881,rna-XM_030268339.3.2
Cluster 2882,rna-XM_015275171.4.22
Cluster 2883,rna-XM_429145.8.6
Cluster 2884,rna-XM_046902287.1.18
Cluster 2885,rna-XM_030290538.3.42
Cluster 2886,rna-XM_041718891.1.21
Cluster 2887,rna-XM_040649391.2.17
Cluster 2888,rna-XM_421446.8.5
Cluster 2889,rna-XM_015287607.4.4
Cluster 2890,rna-XM_041716935.1.38
Cluster 2891,rna-XM_030291490.3.62
Cluster 2892,rna-XM_422118.8.8
Cluster 2893,rna-XM_040650797.2.87
Cluster 2894,rna-XM_030258054.3.22
Cluster 2895,rna-XM_032747342.2.2
Cluster 2896,rna-XM_015276110.3.97
Cluster 2897,rna-XM_422429.8.10
Cluster 2898,rna-NM_001396849.1.27
Cluster 2899,rna-XM_004935495.5.20
Cluster 2900,rna-XM_015281606.4.1
Cluster 2901,rna-XM_015283991.4.39
Cluster 2902,rna-XM_040700463.2.7
Cluster 2903,rna-XM_030267803.3.2
Cluster 2904,rna-XM_041720751.1.42
Cluster 2905,rna-XM_030258368.3.41
Cluster 2906,rna-XM_012572203.4.23
Cluster 2907,rna-XM_030279322.3.9
Cluster 2908,rna-XM_040702824.2.9
Cluster 2909,rna-XM_004940911.5.43
Cluster 2910,rna-XM_004940044.5.1
Cluster 2911,rna-XM_004934738.5.4
Cluster 2912,rna-XM_041721338.1.44
Cluster 2913,rna-XM_030280883.3.12
Cluster 2914,rna-XM_040700543.2.5
Cluster 2915,rna-NM_204339.2.10
Cluster 2916,rna-XM_004944558.4.42
Cluster 2917,rna-NM_001080102.3.4
Cluster 2918,rna-XM_030281128.3.19
Cluster 2919,rna-NM_001030693.2.17
Cluster 2920,rna-NM_001012567.2.39
Cluster 2921,rna-XM_041716178.1.17
Cluster 2922,rna-NM_001012576.2.125
Cluster 2923,rna-NM_001031034.2.128
Cluster 2924,rna-XM_040697675.2.3
Cluster 2925,rna-XM_420435.8.46
Cluster 2926,rna-XM_041712003.1.122
Cluster 2927,rna-XM_015280249.4.6
Cluster 2928,rna-XM_040646138.2.13
Cluster 2929,rna-XM_046940088.1.4
Cluster 2930,rna-XM_015279992.4.105
Cluster 2931,rna-XM_030284707.3.16
Cluster 2932,rna-XM_002190364.5.2
Cluster 2933,rna-XM_001234206.7.40
Cluster 2934,rna-XM_015287085.4.5
Cluster 2935,rna-XM_003640808.6.1
Cluster 2936,rna-XM_003640550.6.2
Cluster 2937,rna-NM_001278093.2.27
Cluster 2938,rna-XM_015299326.4.57
Cluster 2939,rna-XM_414655.8.37
Cluster 2940,rna-XM_004936290.5.82
Cluster 2941,rna-XM_015287113.4.5
Cluster 2942,rna-XM_025142692.3.49
Cluster 2943,rna-XM_015290086.4.8
Cluster 2944,rna-XM_040653148.2.85
Cluster 2945,rna-XM_030286095.3.26
Cluster 2946,rna-XM_030273620.3.45
Cluster 2947,rna-XM_004174389.5.42
Cluster 2948,rna-XM_015281808.4.1
Cluster 2949,rna-XM_030279399.3.5
Cluster 2950,rna-XM_030280227.3.12
Cluster 2951,rna-XM_030284364.3.16
Cluster 2952,rna-NM_204722.2.142
Cluster 2953,rna-XM_046941585.1.131
Cluster 2954,rna-NM_001271150.2.82
Cluster 2955,rna-XM_015280937.4.1222
Cluster 2956,rna-XM_030287828.3.27
Cluster 2957,rna-XM_004175439.5.9
Cluster 2958,rna-XM_041712718.1.172
Cluster 2959,rna-XM_030255814.3.44
Cluster 2960,rna-XM_002190271.5.18
Cluster 2961,rna-XM_040699297.1.7
Cluster 2962,rna-XM_046940635.1.83
Cluster 2963,rna-NM_204491.1.28
Cluster 2964,rna-XM_418802.8.65
Cluster 2965,rna-XM_030266655.3.1
Cluster 2966,rna-XM_030290032.3.47
Cluster 2967,rna-NM_001318440.2.54
Cluster 2968,rna-XM_015274025.4.2
Cluster 2969,rna-XM_015283417.4.4
Cluster 2970,rna-XM_046939831.1.7
Cluster 2971,rna-NM_001044692.2.5
Cluster 2972,rna-XM_046942446.1.5
Cluster 2973,rna-XM_041714224.1.14
Cluster 2974,rna-XM_002186867.5.15
Cluster 2975,rna-NM_001389313.2.1
Cluster 2976,rna-XM_004944743.5.37
Cluster 2977,rna-XM_414755.7.15
Cluster 2978,rna-XM_015282915.4.1
Cluster 2979,rna-XM_012572289.4.23
Cluster 2980,rna-XM_040703193.2.99
Cluster 2981,rna-NM_001318402.2.6
Cluster 2982,rna-XM_015285878.4.7
Cluster 2983,rna-NM_001293169.2.155
Cluster 2984,rna-XM_046938086.1.1
Cluster 2985,rna-XM_030282966.3.13
Cluster 2986,rna-XM_030275608.3.38
Cluster 2987,rna-XM_041711912.1.186
Cluster 2988,rna-XM_030263047.3.4
Cluster 2989,rna-XM_040704176.2.8
Cluster 2990,rna-XM_025150440.3.82
Cluster 2991,rna-XM_004935418.5.39
Cluster 2992,rna-XM_046938290.1.1
Cluster 2993,rna-NM_001389680.2.137
Cluster 2994,rna-XM_046900561.1.15
Cluster 2995,rna-XM_003642379.6.18
Cluster 2996,rna-XM_041712854.1.588
Cluster 2997,rna-XM_030282879.3.13
Cluster 2998,rna-XM_003641782.6.12
Cluster 2999,rna-NM_001379241.2.3
Cluster 3000,rna-XM_046905231.1.6
Cluster 3001,rna-XM_015274761.4.2
Cluster 3002,rna-XM_002190223.6.16
Cluster 3003,rna-XM_012575030.4.11
Cluster 3004,rna-XM_419486.8.3
Cluster 3005,rna-XM_040699201.2.7
Cluster 3006,rna-XM_040697160.2.3
Cluster 3007,rna-XM_002195006.6.61
Cluster 3008,rna-XM_041716518.1.6
